CID,zHD,zHDERR,MU,MUERR,RA,DEC,MWEBV,HOST_LOGMASS,IDSURVEY,kappa_5,kappa_10,kappa_20,kappa_30,kappa_comp_5_10,kappa_comp_10_20,kappa_comp_20_40,y_5,y_10,y_20,y_30,y_comp_5_10,y_comp_10_20,y_comp_20_40,mask_ok_kappa,mask_ok_y,n_pix_kappa,n_pix_y,delta_mu,delta_mu_deconf,clean_sample
2011fe,0.00122,0.00084,29.0273,1.51645,210.774,54.2737,0.00758935,10.677,51,-0.068614056321099,0.05941617447407946,0.13035203088964656,0.20671133058376606,-0.1707069743935713,-0.09931019898179387,-0.24817046514160632,,,,,,,,True,False,8,0,0.527217431983992,0.44213360536011626,False
2012cg,0.00256,0.00084,30.734099999999998,0.782372,186.803,9.4203,0.0177724,9.633,51,2.5625392517724794,2.5187029110954384,2.3524670872780478,2.1487086584849426,0.0526036088124493,0.2137317734795019,0.5308878819969369,,,,,,,,True,False,6,0,0.6224421724223212,0.5436029961258473,False
1994DRichmond,0.00299,0.00084,30.7757,0.881212,188.51,7.7016,0.0191036,8.46247,50,-0.020356090777348946,0.025347187188112543,0.21010348627505668,0.3934975878445676,-0.06398458915164609,-0.2463417321159255,-0.42319231294381926,,,,,,,,True,False,7,0,0.32618918482078385,0.3255789190783381,False
1981B,0.00317,0.00084,30.7946,0.614535,188.623,2.1998,0.0157149,9.686,50,0.17092385802117235,0.1705563880436852,0.16473072775090397,0.15187232843214876,0.0005512049662307617,0.007573358380615597,0.035857101279589715,,,,,,,,True,False,6,0,0.21785723705865578,0.21749117744898988,False
2013aa,0.00331,0.00085,30.5066,0.594683,218.141,-44.2244,0.14605,10.53,56,1.713101739927761,1.617873159300204,1.5853015962276713,1.5033498564247185,0.13332001287857986,0.04397161014791906,0.2906042652714431,,,,,,,,True,False,7,0,-0.16421314847337243,-0.1809502768000541,False
2017cbv,0.00331,0.00085,30.456,0.578445,218.143,-44.1341,0.14511,10.449,5,1.5688726659023409,1.625580599854421,1.6242763936575306,1.6065968617718962,-0.07939110753291212,0.0017847032167976895,0.15778687080392917,,,,,,,,True,False,7,0,-0.21481314847337174,-0.2527725468633925,False
2001el,0.00333,0.00084,31.5011,0.591006,56.1275,-44.6398,0.012219,11.28,50,0.8000297793456557,0.7012417529666733,0.7991412688316767,0.7720356962031221,0.14818203956847342,-0.1305326878200045,0.042007384213954335,,,,,,,,True,False,6,0,0.8171732671507357,0.8100806488001705,False
2011by,0.00349,0.00084,31.7933,0.55272,178.94,55.3256,0.0120014,10.417,51,-0.6934957682943385,-0.7565754580890122,-0.7691020685647606,-0.7487846507941054,0.07569562775360839,0.015942958787316552,-0.1014249040059424,,,,,,,,True,False,6,0,1.0072082496867232,0.9218064693731932,False
1998aq,0.00349,0.00084,31.4967,0.545492,179.108,55.1287,0.0121395,10.199,50,-0.7854775223784775,-0.7243688487066487,-0.7496257612600612,-0.7594446930278291,-0.07333040840619431,0.03214516143161583,0.09143142733913712,,,,,,,,True,False,6,0,0.7106082496867252,0.7035213604911622,False
1990N,0.00359,0.00084,31.6969,0.550993,190.736,13.2565,0.0222809,9.802,50,-0.8056600800353251,-0.8171392300291954,-0.8345818110223485,-0.8190370521165223,0.013392341659515306,0.023256774657537616,-0.11437671142772698,,,,,,,,True,False,7,0,0.8493012673340985,0.8484620299666397,False
2021pit,0.00384,0.00084,30.9999,0.566505,56.1257,-44.6325,0.012255,-9.0,56,0.8000297793456557,0.7012417529666733,0.8167406495234224,0.7720356962031221,0.14818203956847342,-0.1519722323115118,0.06548471492408536,,,,,,,,True,False,6,0,0.005712810797707135,0.005596088337628142,False
2005df,0.00407,0.00084,31.3933,0.476404,64.4077,-62.7693,0.025672,10.375,50,-1.0922262956372053,-1.0731964287768039,-1.0060606258776583,-0.9979509249614414,-0.02220151133713477,-0.09187004607251481,-0.008149199184654843,,,,,,,,True,False,7,0,0.2724248114037984,0.26436270472311013,False
2005df_ANU,0.00407,0.00084,31.3779,0.479276,64.4077,-62.7693,0.025672,9.552,50,-1.0922262956372053,-1.0731964287768039,-1.0060606258776583,-0.9979509249614414,-0.02220151133713477,-0.09187004607251481,-0.008149199184654843,,,,,,,,True,False,7,0,0.25702481140379874,0.2559411949479373,False
2013dy,0.00432,0.00084,31.53005,0.514259,334.573,40.5693,0.13193,9.131,51,-0.4968407059640935,-0.48594799024573515,-0.48686255356546426,-0.492488439949658,-0.012708168338084691,0.001251507700681831,0.018553762137227647,,,,,,,,True,False,7,0,0.27932384204814653,0.19225791625380206,False
2012ht,0.00465,0.00084,31.98195,0.442017,163.345,16.7764,0.0251619,9.53,56,2.089203436250674,2.154298149420438,2.066373131313032,1.8609757995990908,-0.16273678292440952,0.10703915247858165,0.5004924826809662,,,,,,,,True,False,5,0,0.5708443962351453,0.5697975400555937,False
1980N,0.00482,0.00084,31.2476,0.558603,50.7513,-37.2139,0.0179674,11.314,50,-1.9829539144799655,-1.9463909628667129,-1.8229119894509864,-1.6771592968602538,-0.04265677688212843,-0.1666966141112305,-0.5363726371303246,,,,,,,,True,False,7,0,-0.24175071551765726,-0.24925759141054604,False
2012fr,0.00483,0.00085,31.17825,0.446882,53.4,-36.1271,0.0175479,10.732,56,-0.622101676090652,-0.7018756912008374,-0.5884926481139403,-0.5422987689134675,0.09572881813222234,-0.14577819825458216,-0.22177777339652488,,,,,,,,True,False,6,0,-0.3156173338048909,-0.3230939784962271,False
2007on,0.00483,0.00085,31.708,0.564724,54.7125,-35.5753,0.00991396,11.2901,5,-1.520610142707259,-1.4570847717413853,-1.4651780344772032,-1.4138867435070643,-0.12705074193174748,0.010300516209222454,-0.29008023792866844,,,,,,,,True,False,6,0,0.21413266619510907,0.18591614917421387,False
1992A,0.00483,0.00085,31.34,0.562589,54.1142,-34.9587,0.0146544,11.5,50,-0.06496740407260577,-0.12099467832020776,-0.1960231285106866,-0.23946188594159115,0.06536515328886895,0.10128840775714645,0.1754121899804797,,,,,,,,True,False,7,0,-0.15386733380488948,-0.16113545887359795,False
2015F,0.00488,0.00084,31.49315,0.448264,114.066,-69.5064,0.17476,12.198,56,1.2008308732793331,1.1836774043130343,1.1406989186480367,1.0664387164349658,0.02401485655281821,0.05730464755333031,0.1584294411773146,,,,,,,,True,False,7,0,-0.023161564984825134,-0.04196767494815531,False
2011B,0.00538,0.00084,31.6512,0.514401,133.952,78.2174,0.0267141,11.08,56,0.6680231985590438,0.6457945503224539,0.8719144413726921,0.9944261240356672,0.03704774706098324,-0.2752763891046378,-0.3464252284940589,,,,,,,,True,False,5,0,-0.07773124390032038,-0.08586844935368543,False
2018aoz,0.00548,0.00085,31.7282,0.501431,177.758,-28.7441,0.0723949,9.85343,51,-0.23774343066964082,-0.18318262021780854,-0.07179889302372845,-0.07859821120716685,-0.08184121567774849,-0.1432076492495315,-0.01873689378966048,,,,,,,,True,False,6,0,-0.04088406625626817,-0.12365960442831965,False
2016coj,0.0057,0.00084,31.9117,0.469628,182.028,65.1772,0.016304,11.036,51,0.028711476191990555,0.07051198801941336,0.10525538819553076,0.12195209143497286,-0.04876726379865993,-0.047543600241002806,-0.06135088025250261,,,,,,,,True,False,7,0,0.056789436224725875,-0.02892241028141447,False
SN2016coj,0.0057,0.00084,31.8985,0.483668,182.028,65.1772,0.016304,11.036,150,0.028711476191990555,0.07051198801941336,0.10525538819553076,0.12195209143497286,-0.04876726379865993,-0.047543600241002806,-0.06135088025250261,,,,,,,,True,False,7,0,0.043589436224724665,0.03918494606684951,False
2007sr,0.00571,0.00084,31.65455,0.375913,180.47,-18.9728,0.0404781,10.682,57,0.5520946763984609,0.4251013824276334,0.3393764812662959,0.17694170697505485,0.17779061155915848,0.11572861656780553,0.3790714989840018,,,,,,,,True,False,7,0,-0.2041829607031218,-0.21616789013780568,False
2007gi,0.00587,0.00084,31.7403,0.491367,180.348,61.8927,0.0203764,7.0,50,-0.9371304322751345,-0.877436744944274,-0.8694865462974116,-0.8061835068537592,-0.08954053099629078,-0.01002416351126112,-0.20756814295398207,,,,,,,,True,False,6,0,-0.1787010372433997,-0.17940302711775516,False
1994ae,0.00588,0.00084,32.1822,0.339643,161.758,17.2752,0.0264098,10.196,61,-0.7527829743523512,-0.8469520541403979,-0.8782181543752394,-0.7539384481932058,0.11300289574565614,0.03979321848070749,-0.19657409887681432,,,,,,,,True,False,6,0,0.25948670873336255,0.25137143261166006,False
